timestamp,ip_address,username,status,failed_attempts,threat_level
2024-01-01 00:06:00,192.168.1.36,guest,FAILED,47,MEDIUM
2024-01-01 00:06:00,192.168.1.2,user1,FAILED,55,HIGH
2024-01-01 00:11:00,89.248.167.131,administrator,SUCCESS,52,HIGH
2024-01-01 00:17:00,192.168.1.14,sarah,SUCCESS,50,MEDIUM
2024-01-01 00:23:00,192.168.1.39,user1,SUCCESS,61,HIGH
2024-01-01 00:35:00,192.168.1.22,john,SUCCESS,64,HIGH
2024-01-01 00:42:00,10.0.0.19,guest,FAILED,44,MEDIUM
2024-01-01 00:42:00,192.168.1.46,user1,SUCCESS,48,MEDIUM
2024-01-01 01:04:00,192.168.1.29,guest,SUCCESS,57,HIGH
2024-01-01 01:23:00,192.168.1.14,john,SUCCESS,50,MEDIUM
2024-01-01 01:35:00,192.168.1.44,root,FAILED,56,HIGH
2024-01-01 01:35:00,10.0.0.15,john,SUCCESS,49,MEDIUM
2024-01-01 01:50:00,10.0.0.7,user1,FAILED,57,HIGH
2024-01-01 02:07:00,10.0.0.9,administrator,SUCCESS,52,HIGH
2024-01-01 02:16:00,10.0.0.14,sarah,SUCCESS,60,HIGH
2024-01-01 02:22:00,192.168.1.10,administrator,FAILED,39,MEDIUM
2024-01-01 02:23:00,192.168.1.29,user1,FAILED,57,HIGH
2024-01-01 02:26:00,192.168.1.28,root,FAILED,49,MEDIUM
2024-01-01 02:40:00,192.168.1.4,user1,FAILED,51,HIGH
2024-01-01 02:48:00,10.0.0.17,administrator,SUCCESS,57,HIGH
2024-01-01 02:55:00,192.168.1.22,root,FAILED,64,HIGH
2024-01-01 03:03:00,192.168.1.7,root,FAILED,47,MEDIUM
2024-01-01 03:22:00,192.168.1.13,administrator,FAILED,52,HIGH
2024-01-01 03:25:00,192.168.1.25,admin,FAILED,58,HIGH
2024-01-01 03:27:00,192.168.1.14,guest,FAILED,50,MEDIUM
2024-01-01 03:29:00,192.168.1.28,admin,FAILED,49,MEDIUM
2024-01-01 03:36:00,192.168.1.29,guest,FAILED,57,HIGH
2024-01-01 03:38:00,192.168.1.37,administrator,FAILED,60,HIGH
2024-01-01 03:44:00,192.168.1.49,administrator,SUCCESS,59,HIGH
2024-01-01 03:47:00,192.168.1.29,user1,SUCCESS,57,HIGH
2024-01-01 03:55:00,192.168.1.24,sarah,FAILED,50,MEDIUM
2024-01-01 04:00:00,10.0.0.18,administrator,FAILED,49,MEDIUM
2024-01-01 04:32:00,192.168.1.31,admin,FAILED,43,MEDIUM
2024-01-01 04:40:00,192.168.1.34,admin,FAILED,54,HIGH
2024-01-01 04:43:00,45.33.32.156,root,SUCCESS,46,MEDIUM
2024-01-01 05:05:00,10.0.0.1,sarah,SUCCESS,56,HIGH
2024-01-01 05:08:00,192.168.1.8,user1,FAILED,43,MEDIUM
2024-01-01 05:21:00,192.168.1.26,john,FAILED,64,HIGH
2024-01-01 05:24:00,89.248.167.131,administrator,FAILED,52,HIGH
2024-01-01 05:28:00,198.20.69.74,sarah,FAILED,65,HIGH
2024-01-01 05:29:00,192.168.1.6,sarah,FAILED,47,MEDIUM
2024-01-01 05:37:00,192.168.1.14,guest,FAILED,50,MEDIUM
2024-01-01 05:39:00,192.168.1.18,john,FAILED,51,HIGH
2024-01-01 05:40:00,192.168.1.12,john,FAILED,52,HIGH
2024-01-01 05:48:00,192.168.1.24,administrator,FAILED,50,MEDIUM
2024-01-01 05:51:00,192.168.1.6,sarah,FAILED,47,MEDIUM
2024-01-01 06:05:00,10.0.0.4,guest,FAILED,45,MEDIUM
2024-01-01 06:23:00,192.168.1.3,admin,FAILED,50,MEDIUM
2024-01-01 06:56:00,192.168.1.11,root,SUCCESS,50,MEDIUM
2024-01-01 06:56:00,192.168.1.38,admin,FAILED,54,HIGH
2024-01-01 07:02:00,192.168.1.40,sarah,FAILED,46,MEDIUM
2024-01-01 07:11:00,10.0.0.5,administrator,FAILED,46,MEDIUM
2024-01-01 07:20:00,192.168.1.24,admin,FAILED,50,MEDIUM
2024-01-01 07:23:00,192.168.1.39,user1,FAILED,61,HIGH
2024-01-01 07:31:00,192.168.1.9,guest,SUCCESS,52,HIGH
2024-01-01 07:46:00,192.168.1.1,sarah,SUCCESS,48,MEDIUM
2024-01-01 07:47:00,192.168.1.27,administrator,FAILED,43,MEDIUM
2024-01-01 07:51:00,192.168.1.29,guest,SUCCESS,57,HIGH
2024-01-01 07:53:00,192.168.1.35,admin,SUCCESS,35,MEDIUM
2024-01-01 07:55:00,192.168.1.3,administrator,FAILED,50,MEDIUM
2024-01-01 08:01:00,192.168.1.14,sarah,FAILED,50,MEDIUM
2024-01-01 08:01:00,45.33.32.156,user1,FAILED,46,MEDIUM
2024-01-01 08:07:00,192.168.1.24,user1,FAILED,50,MEDIUM
2024-01-01 08:07:00,192.168.1.26,john,FAILED,64,HIGH
2024-01-01 08:26:00,192.168.1.16,guest,FAILED,53,HIGH
2024-01-01 08:32:00,10.0.0.19,guest,FAILED,44,MEDIUM
2024-01-01 08:36:00,192.168.1.43,guest,SUCCESS,47,MEDIUM
2024-01-01 08:42:00,10.0.0.10,root,FAILED,54,HIGH
2024-01-01 08:49:00,192.168.1.48,admin,FAILED,62,HIGH
2024-01-01 08:57:00,10.0.0.8,admin,FAILED,69,HIGH
2024-01-01 09:06:00,192.168.1.15,guest,FAILED,39,MEDIUM
2024-01-01 09:12:00,192.168.1.23,john,SUCCESS,46,MEDIUM
2024-01-01 09:43:00,192.168.1.3,root,FAILED,50,MEDIUM
