ip_address,failed_attempts,threat_level
10.0.0.8,69,HIGH
10.0.0.3,65,HIGH
198.20.69.74,65,HIGH
192.168.1.22,64,HIGH
192.168.1.26,64,HIGH
192.168.1.48,62,HIGH
192.168.1.39,61,HIGH
10.0.0.6,61,HIGH
192.168.1.37,60,HIGH
192.168.1.42,60,HIGH
10.0.0.14,60,HIGH
192.168.1.49,59,HIGH
192.168.1.25,58,HIGH
192.168.1.20,58,HIGH
10.0.0.12,58,HIGH
192.168.1.19,58,HIGH
192.168.1.29,57,HIGH
10.0.0.13,57,HIGH
10.0.0.7,57,HIGH
10.0.0.17,57,HIGH
10.0.0.1,56,HIGH
192.168.1.44,56,HIGH
192.168.1.2,55,HIGH
10.0.0.10,54,HIGH
192.168.1.34,54,HIGH
192.168.1.38,54,HIGH
192.168.1.16,53,HIGH
10.0.0.11,52,HIGH
192.168.1.13,52,HIGH
10.0.0.9,52,HIGH
89.248.167.131,52,HIGH
192.168.1.9,52,HIGH
192.168.1.17,52,HIGH
192.168.1.32,52,HIGH
192.168.1.12,52,HIGH
10.0.0.16,51,HIGH
192.168.1.4,51,HIGH
192.168.1.18,51,HIGH
